player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year
Max Mitchell,81707,T,NYJ,1,0,22,57.6,1,2,47,100.0,100.0,94.7,0,4,1,49,49,51.0,1,2,28,100.0,100.0,91.1,4,1,28,28,2,2022
Alijah Vera-Tucker,57107,G,NYJ,1,0,22,75.0,0,3,47,100.0,100.0,96.8,0,3,0,49,49,77.2,0,2,28,100.0,100.0,96.4,2,0,28,28,2,2022
Andrus Peat,9446,G,NO,1,0,20,46.1,0,3,47,100.0,100.0,96.8,0,3,0,49,49,30.9,0,3,25,100.0,100.0,94.0,3,0,27,27,2,2022
Connor McGovern,10778,C,NYJ,1,0,22,74.5,0,1,47,100.0,100.0,98.9,2,1,0,49,49,83.4,0,0,28,100.0,100.0,100.0,0,0,28,28,2,2022
George Fant,11282,T,NYJ,1,0,22,43.2,1,4,47,100.0,100.0,94.7,0,5,0,49,49,57.9,1,2,28,100.0,100.0,94.6,3,0,28,28,2,2022
Cesar Ruiz,59857,G,NO,1,0,20,68.7,0,0,47,100.0,100.0,100.0,0,0,0,49,49,53.3,0,0,25,100.0,100.0,100.0,0,0,27,27,2,2022
James Hurst,9001,T,NO,1,0,20,87.3,0,0,47,100.0,100.0,100.0,0,0,0,49,49,81.8,0,0,25,100.0,100.0,100.0,0,0,27,27,2,2022
Jon Feliciano,9561,C,NYG,1,0,21,51.9,0,1,43,100.0,100.0,98.8,1,1,0,46,46,72.2,0,0,17,100.0,100.0,100.0,0,0,18,18,2,2022
Alex Cappa,66578,G,CIN,1,0,7,63.7,0,0,45,100.0,100.0,97.8,0,1,1,46,46,59.8,0,0,14,100.0,100.0,92.9,1,1,14,14,2,2022
Jonah Williams,41651,T,CIN,1,0,7,51.6,1,1,45,100.0,100.0,95.6,0,3,1,46,46,70.0,0,0,14,100.0,100.0,92.9,1,1,14,14,2,2022
Cordell Volson,30614,G,CIN,1,0,7,87.6,0,0,45,100.0,100.0,100.0,0,0,0,46,46,83.8,0,0,14,100.0,100.0,100.0,0,0,14,14,2,2022
La'el Collins,9719,T,CIN,1,0,7,27.3,2,2,45,100.0,100.0,93.3,0,5,1,46,46,50.9,0,0,14,100.0,100.0,92.9,1,1,14,14,2,2022
Evan Neal,99063,T,NYG,1,0,21,73.9,0,2,43,100.0,100.0,95.3,0,3,1,46,46,66.7,0,1,17,100.0,100.0,91.2,2,1,18,18,2,2022
Andrew Thomas,59701,T,NYG,1,0,21,79.0,1,2,43,100.0,100.0,96.5,0,3,0,46,46,63.7,1,2,17,100.0,100.0,91.2,3,0,18,18,2,2022
Mark Glowinski,9567,G,NYG,1,0,21,24.8,0,3,43,100.0,100.0,94.2,0,4,1,46,46,0.0,0,3,17,100.0,100.0,85.3,4,1,18,18,2,2022
Ted Karras,10855,C,CIN,1,0,7,70.1,0,3,45,100.0,100.0,96.7,0,3,0,46,46,46.3,0,3,14,100.0,100.0,89.3,3,0,14,14,2,2022
Dion Dawkins,11818,T,BUF,1,0,4,82.6,0,1,42,100.0,100.0,98.8,0,1,0,45,45,76.3,0,1,14,100.0,100.0,96.4,1,0,16,16,2,2022
Ryan Bates,28300,G,BUF,1,0,4,74.7,0,1,42,100.0,100.0,98.8,0,1,0,45,45,56.5,0,1,14,100.0,100.0,96.4,1,0,16,16,2,2022
Rodger Saffold,5558,G,BUF,1,0,4,28.6,1,3,42,100.0,100.0,95.2,0,4,0,45,45,2.1,1,2,14,100.0,100.0,89.3,3,0,16,16,2,2022
